Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Network,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
(Director),Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Sweden,Member,Agriculture
Dr,Ångstrøm,Anders Knutsson,1888,1981,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Sweden,Member,Meteorology
"(Prof)
[Chair of agricultural ecology]",Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Italy,Member,Agriculture
(Retired from the Colombo Observatory in 1931 and moved to Great Britain as teacher),Bamford,Alec Joscelyne,1885,1957,,Welwyn Garden City,Welwyn Garden City,Great Britain,Great Britain,Great Britain,Member,Meteorology
(Director),Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Latvia,Member,Agriculture
"Rev Chaplain-Colonel
(Consultant meteorologist)",Bates,Daniel Cross,1868,1954,,Auckland,Auckland,New Zealand,New Zealand,New Zealand,Member,Meteorology
Prof,Berce,Richard Jules,1899,1949,"Agronomy Institute, Gembloux",Gembloux,Gembloux,Belgium,Belgium,Belgium,Member,Agriculture
,Bergeiro,José Maria,1906,1947,Uruguayan Meteorological Service,Montevideo,Montevideo,Uruguay,Uruguay,Uruguay,Member,Meteorology
,Birkeland,Bernt Johannes,1879,1955,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Norway,Member,Meteorology
Dr,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,The Netherlands,Secretary,Meteorology
,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,France,Member,Meteorology
"Ingénieur agronome
(Chief)",Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Hanoi,Hanoi,France (French Indochina),France,Vietnam,Member,Agriculture
(Director),Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,France,Member,Agriculture
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
"General
(Retired from the French Meteorological Service in 1934)",Delcambre,Émile,1871,1951,,"Denée, Maine-et-Loire",Denée,France,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Italy,Member,Agriculture
,Duckert,Paul A. O. ,1900,1966,State Meteorological Service,Berlin,Berlin,Germany,Germany,Germany,Member,Meteorology
(Director),Eredia,Filippo,1877,1948,"Forecasting Service, Italian Central Bureau of Meteorology and Geodynamics",Rome,Rome,Italy,Italy,Italy,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Brasil,Member,Meteorology
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Spain,Member,Meteorology
(Director),Galbis,José,1868,1952,Geographic Engineers Service,Madrid,Madrid,Spain,Spain,Spain,Member,Geography
Prof,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Germany,Member,Meteorology
Dr,Geslin,Henri,1899,1976,French National Institute for Agronomy Research,Versailles,Versailles,France,France,France,Member,Agriculture
Prof,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Portugal,Member,Agriculture
Dr,Gumiński,Romuald,1896,1952,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Poland,Member,Meteorology
(Chief),Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Denmark,Member,Meteorology
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Norway,Member,Meteorology
Dr,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Japan,Member,Agriculture
Prof,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Germany,Member,Agriculture
,Hooker,Reginald Hawthorn,1867,1944,Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Great Britain,Member,Agriculture
,Hubert,Henry,1879,1941,"Central Service for Colonial Meteorology, French Ministry of Colonies",Paris,Paris,France,France,France,Member,Geography
Prof,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
Dr,Kessler,Otto Wilhelm,1899,1945,"State Meteorological Service, Research Unit on Agricultural Meteorology",Trier,Trier,Germany,Germany,Germany,Member,Meteorology
(Chief),Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,USA,Member,Meteorology
,Kiroff,Kiro T.,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Bulgaria,Member,Meteorology
Prof Dr,Knoch,Karl,1883,1972,State Meteorological Service,Berlin,Berlin,Germany,Germany,Germany,Member,Meteorology
Prof Dr (Climatology),Koloskov,Pavel Ivanovic,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,USSR,Russia,Member,Meteorology
,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
"Prof
(Director)",Koschmieder,Harald,1897,1966,Meteorological Observatory Lindenberg,Lindenberg,Lindenberg,Germany,Germany,Germany,Member,Meteorology
"Dr
(Director)",Lugeon,Jean,1898,1976,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Poland,Member,Meteorology
Prof,Mariolopulos,Elias G.,1900,1991,Greek National Observatory,Athens,Athens,Greece,Greece,Greece,Member,Meteorology
"Prof
(Director)",Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,France,Member,Meteorology
Dr,Melander,Gustaf,1861,1938,Finnish Meteorological Service,Helsinki,Helsinki,Finland,Finland,Finland,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,Central Swiss Meteorological Service,Zurich,Zurich,Switzerland,Switzerland,Switzerland,Member,Meteorology
"Teniente coronel
Ingeniero geógrafo",Meseguer y Marin,Enrique,1879,,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Spain,Member,Meteorology
(Director),Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,Great Britain,Great Britain,India,Member,Meteorology
"Prof Dr
(Director)",Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Japan,Member,Meteorology
,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Canada,Member,Meteorology
,Proudhomme,Émile,1871,1963,French National Institute for Colonial Agriculture,Nogent-sur-Marne,Nogent-sur-Marne,France,France,France,Member,Agriculture
,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,Indian Meteorological Department - Agricultural Meteorology Section,Poona,Pune,Great Britain,Great Britain,India,Member,Meteorology
Prof Dr,Réthly,Anton,1879,1975,Hungarian Meteorological Service,Budapest,Budapest,Hungary,Hungary,Hungary,Member,Meteorology
(Inspecteur général),Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,France,Member,Agriculture
Prof Ing,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Spain,Member,Agriculture
"Ingénieur agronome
(Section Director)",Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,France,Member,Agriculture
Ingénieur agronome (Inspecteur principal),Schindler,Pierre,,1966,Geophysics and Meteorological Service of the Sherifian Scientific Institute,Casablanca,Casablanca,France,France,Morocco,Member,Agriculture
(Prof Dr),Schmidt,Wilhelm Mathäus,1883,1936,Central Office for Meteorology and Geodynamics,Vienna,Vienna,Austria,Austria,Austria,President,Meteorology
Prof Dr,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,USSR,Russia,Member,Meteorology
"Prof Dr
(Director)",Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Germany,Member,Meteorology
"(Former director of the Meteorological Office, London)",Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Great Britain,Member,Meteorology
Dr,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Canada,Member,Agriculture
(Director),Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Great Britain,Member,Meteorology
"Prof Agr
(Director)",Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,USSR,Ukraine,Member,
(Chief),Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,South Africa,Member,Meteorology
Dr,Taylor,Thomas Griffith,1880,1963,"Geography Institute, University of Toronto",Toronto,Toronto,Canada,Canada,Canada,Member,Geography
(Director),Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Great Britain,Great Britain,Kenya,Member,Meteorology
,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,France,Member,Meteorology
Prof,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,The Netherlands,Member,Agriculture
