Nation,1913,1919,1921,1923,1926,1929,1932,1935,1937,1946,1947
Argentina,0,0,0,0,0,1,1,0,0,1,2
Australia,0,1,1,1,1,1,0,0,0,1,1
Austria,0,0,0,0,1,1,1,1,1,0,0
Belgium,0,0,0,0,0,0,0,1,1,2,2
Brazil,0,0,0,1,1,1,1,1,1,1,1
Bulgaria,0,0,0,0,0,1,1,1,1,0,1
Canada,1,2,2,2,2,3,3,4,2,1,3
Chile,0,0,0,0,0,1,1,0,0,0,0
China,0,0,0,0,0,0,0,0,0,1,1
Denmark,1,1,1,2,2,2,2,2,2,0,0
Egypt,0,0,0,0,0,0,0,0,0,1,2
Finland,0,0,0,0,1,3,3,3,3,1,1
France,1,5,6,8,7,9,14,12,12,4,5
Germany,2,0,0,0,3,4,5,7,5,0,0
Great Britain,0,1,3,5,4,7,8,7,5,4,5
Greece,0,0,0,0,0,0,1,1,1,2,2
Hungary,0,0,0,0,0,0,0,1,3,0,0
Italy,2,1,2,2,3,3,3,3,2,2,2
Ireland,0,0,0,0,0,0,0,0,1,0,0
Japan,0,0,1,1,1,2,2,2,2,0,0
Latvia,0,0,0,0,0,1,1,1,1,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,1,1
The Netherlands,0,1,2,3,2,2,2,2,1,2,2
New Zealand,0,1,1,1,1,1,1,1,0,1,1
Norway,0,1,2,2,2,2,2,2,1,1,1
Palestine,0,0,0,0,0,0,0,0,0,1,1
Peru,0,0,0,0,0,0,0,0,0,1,1
Poland,0,0,0,0,0,0,0,2,2,1,1
Portugal,0,0,1,2,2,2,1,1,1,0,1
Russia/USSR,1,0,0,2,3,3,3,3,2,1,3
South Africa,0,0,0,0,1,1,1,1,1,1,1
Spain,0,2,2,2,3,3,4,4,1,1,1
Sweden,0,1,2,2,2,2,2,2,1,0,0
Switzerland,0,1,2,1,1,1,1,1,1,1,1
Turkey,0,0,0,0,0,0,0,0,0,0,1
United States,0,0,1,1,1,1,2,1,1,1,2
Uruguay,0,0,0,0,0,0,0,1,1,2,2
