Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
Ten. Col.,Agostinho,José,1888,1978,Azores Meteorological Service,Angra do Heroismo,Angra ,Portugal (Azores),Portugal,Member,Meteorology
Dr,Ångstrøm,Anders Knutsson,1888,1981,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Member,Meteorology
"(Prof)
[Chair of agricultural ecology]",Azzi,Girolamo,1885,1969,"Agronomy Department, University of Perugia",Perugia,Perugia,Italy,Italy,Member,Agriculture
(Director),Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Member,Agriculture
Prof,Berce,J. M.,1899,1949,Agronomy Institute Gembloux,Gembloux,Gembloux,Belgium,Belgium,Member,Agriculture
Prof Dr,Berényi,Dénes,1900,1971,"University of Debrecen, Meteorological Institute",Debrecen,Debrecen,Hungary,Hungary,Member,Meteorology
,Bergeiro,José Maria,1906,1947,Uruguayan Meteorological Service,Montevideo,Montevideo,Uruguay,Uruguay,Member,Meteorology
Dr,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,President,Meteorology
,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
Ingénieur agronome,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,France (French Indochina),Vietnam,Member,Agriculture
(Director),Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,Member,Agriculture
(Director),La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
"General
(Retired from the French Meteorological Service in 1934)",Delcambre,Émile,1871,1951,,"Denée, Maine-et-Loire",Denée,France,France,Member,Meteorology
,Duckert,Paul A. O.,1900,1966,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
(Director),Eredia,Filippo,1877,1948,"Forecasting Service, Italian Air Ministry",Rome,Rome,Italy,Italy,Member,Meteorology
"Dr
(Director)",Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
Dr,Fleischmann,Rudolf,1879,1950,Kompolt Agricultural Station,Kompolt,Kompolt,Hungary,Hungary,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
Prof ,Geiger,Rudolf,1894,1981,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Secretary,Meteorology
,Geslin,Henri,1899,1976,French National Institute for Agronomy Research,Versaillles,Versaillles,France,France,Member,Agriculture
,Godard,Marcelin,1909,1994,French National Institute for Agronomy Research,Versaillles,Versaillles,France,France,Member,Agriculture
Dr,Gumiński,Romuald,1896,1952,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
(Chief),Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
Dr,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Member,Agriculture
Inspecteur général,Hubert,Henry,1879,1941,"Central Service for Colonial Meteorology, French Ministry of Colonies",Paris,Paris,France,France,Member,Geography
Dr,Keen,Bernard A. ,1890,1981,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
Prof,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
Dr,Kessler,Otto Wilhelm,1899,1945,"State Meteorological Service, Research Unit on Agricultural Meteorology",Trier,Trier,Germany,Germany,Member,Meteorology
(Chief),Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,Member,Meteorology
,Kiroff,Kiro T.,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Member,Meteorology
Prof Dr,Knoch,Karl,1883,1972,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
Prof Dr (Climatology),Koloskov,Pavel Ivanovic,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,Russia,Member,Meteorology
,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
"Dr
(Former director)",Lugeon,Jean,1898,1976,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
Prof,Mariolopulos,Elias G.,1900,1991,Greek National Observatory,Athens,Athens,Greece,Greece,Member,Meteorology
Dr,Melander,Gustaf,1861,1938,Finnish Meteorological Service,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,Swiss Meteorological Service,Zurich,Zurich,Switzerland,Switzerland,Member,Meteorology
,Nagle,Austen H.,1903,1984,Irish Meteorological Service,Dublin,Dublin,Ireland,Ireland,Member,Meteorology
"Dr
(Director)",Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,India,India,Member,Meteorology
"Prof Dr
(Director)",Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
,Proudhomme,Émile,1871,1963,French National Institute for Colonial Agriculture,Nogent-sur-Marne,Nogent-sur-Marne,France,France,Member,Agriculture
Dr,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,Indian Meteorological Department - Agricultural Meteorology Section,Poona,Pune,Great Britain,India,Member,Meteorology
Prof Dr,Réthly,Anton,1879,1975,Hungarian Meteorological Service,Budapest,Budapest,Hungary,Hungary,Member,Meteorology
(Inspecteur général),Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Member,Agriculture
"Ingénieur agronome
(Section Director)",Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,Member,Agriculture
Dr,Schedler,Anton,1891,1973,Central Observatory for Meteorology and Geodynamics,Vienna,Vienna,Austria,Austria,Member,Meteorology
Ingénieur agronome (Inspecteur principal),Schindler,Pierre,,1966,Moroccan Inspectorate for Agriculture,Rabat,Rabat,France,Morocco,Member,Agriculture
